Date,Recorder,Site,Plot,Quadrant,Species,Cover,Year
30/05/2021,Will Pearse,Silwood Park,233,1,Rubus fruticosus,20,2021
30/05/2021,Will Pearse,Silwood Park,233,1,Hyacinthoides x massartiana,20,2021
30/05/2021,Will Pearse,Silwood Park,233,1,long grass,80,2021
30/05/2021,Will Pearse,Silwood Park,233,1,Galium aparine,10,2021
30/05/2021,Will Pearse,Silwood Park,233,1,oak (seedling),0,2021
30/05/2021,Will Pearse,Silwood Park,233,1,Rumex acetosa,0,2021
30/05/2021,Will Pearse,Silwood Park,233,1,oak (leaf-litter),0,2021
30/05/2021,Will Pearse,Silwood Park,233,1,Pratensis-like,0,2021
30/05/2021,Will Pearse,Silwood Park,233,2,Rubus fruticosus,20,2021
30/05/2021,Will Pearse,Silwood Park,233,2,Hyacinthoides x massartiana,15,2021
30/05/2021,Will Pearse,Silwood Park,233,2,long grass,80,2021
30/05/2021,Will Pearse,Silwood Park,233,2,Galium aparine,15,2021
30/05/2021,Will Pearse,Silwood Park,233,2,oak (seedling),4,2021
30/05/2021,Will Pearse,Silwood Park,233,2,Rumex acetosa,0,2021
30/05/2021,Will Pearse,Silwood Park,233,2,oak (leaf-litter),5,2021
30/05/2021,Will Pearse,Silwood Park,233,2,Pratensis-like,0,2021
30/05/2021,Will Pearse,Silwood Park,233,3,Rubus fruticosus,60,2021
30/05/2021,Will Pearse,Silwood Park,233,3,Hyacinthoides x massartiana,20,2021
30/05/2021,Will Pearse,Silwood Park,233,3,long grass,40,2021
30/05/2021,Will Pearse,Silwood Park,233,3,Galium aparine,30,2021
30/05/2021,Will Pearse,Silwood Park,233,3,oak (seedling),1,2021
30/05/2021,Will Pearse,Silwood Park,233,3,Rumex acetosa,0,2021
30/05/2021,Will Pearse,Silwood Park,233,3,oak (leaf-litter),0,2021
30/05/2021,Will Pearse,Silwood Park,233,3,Pratensis-like,2,2021
30/05/2021,Will Pearse,Silwood Park,233,4,Rubus fruticosus,50,2021
30/05/2021,Will Pearse,Silwood Park,233,4,Hyacinthoides x massartiana,20,2021
30/05/2021,Will Pearse,Silwood Park,233,4,long grass,40,2021
30/05/2021,Will Pearse,Silwood Park,233,4,Galium aparine,20,2021
30/05/2021,Will Pearse,Silwood Park,233,4,oak (seedling),0,2021
30/05/2021,Will Pearse,Silwood Park,233,4,Rumex acetosa,0,2021
30/05/2021,Will Pearse,Silwood Park,233,4,oak (leaf-litter),0,2021
30/05/2021,Will Pearse,Silwood Park,233,4,Pratensis-like,3,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Achillea millefolium,20,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Rumex acetosella,4,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Veronica chamaedrys,20,2021
30/05/2021,Will Pearse,Silwood Park,231,1,moss (dying?),2,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Stellaria graminea,2,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Opposite-alternates,10,2021
30/05/2021,Will Pearse,Silwood Park,231,1,brain coral,2,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Urtica dioica,0,2021
30/05/2021,Will Pearse,Silwood Park,231,1,fluffy grass,70,2021
30/05/2021,Will Pearse,Silwood Park,231,1,Lathyrus latifolius,0,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Achillea millefolium,20,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Rumex acetosella,2,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Veronica chamaedrys,20,2021
30/05/2021,Will Pearse,Silwood Park,231,2,moss (dying?),10,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Stellaria graminea,0,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Opposite-alternates,30,2021
30/05/2021,Will Pearse,Silwood Park,231,2,brain coral,0,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Urtica dioica,7,2021
30/05/2021,Will Pearse,Silwood Park,231,2,fluffy grass,50,2021
30/05/2021,Will Pearse,Silwood Park,231,2,Lathyrus latifolius,2,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Achillea millefolium,20,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Rumex acetosella,10,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Veronica chamaedrys,20,2021
30/05/2021,Will Pearse,Silwood Park,231,3,moss (dying?),5,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Stellaria graminea,1,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Opposite-alternates,5,2021
30/05/2021,Will Pearse,Silwood Park,231,3,brain coral,0,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Urtica dioica,1,2021
30/05/2021,Will Pearse,Silwood Park,231,3,fluffy grass,70,2021
30/05/2021,Will Pearse,Silwood Park,231,3,Lathyrus latifolius,1,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Achillea millefolium,20,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Rumex acetosella,10,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Veronica chamaedrys,30,2021
30/05/2021,Will Pearse,Silwood Park,231,4,moss (dying?),2,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Stellaria graminea,0,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Opposite-alternates,20,2021
30/05/2021,Will Pearse,Silwood Park,231,4,brain coral,0,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Urtica dioica,2,2021
30/05/2021,Will Pearse,Silwood Park,231,4,fluffy grass,60,2021
30/05/2021,Will Pearse,Silwood Park,231,4,Lathyrus latifolius,0,2021
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Rubus fruticosus ,40,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Urtica dioica ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Galium aparine ,0.5,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Arrhenatherium elatius ,55,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Myosotis sylvatica ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Rumex obtusifolius ,10,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Poa trivalis ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Carex remota ,1,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Veronica chamaedrys ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,Fraxinus excelsior ,0,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,moss ,2,2022
06/06/2022,"Lucia Bustamante Vizcarra, Catalina Estrada ",Silwood Park,122,1,leaf litter ,0,2022
